condition,scope,adaptation_rate,learning_rate,seed,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,beta_mean,beta_std,mean_within_tensor_beta_std,pct_beta_below_0_5,pct_beta_above_0_9
noise20,tensor,0.3,0.2,101,1,2.3201340103149413,11.05,2.37384423828125,10.0,0.8149710595607758,0.03465209808200598,0.0,0.0,1.2195121496915817
noise20,tensor,0.3,0.2,101,2,2.3164513912200926,12.0,2.1981314697265626,19.2,0.7582193613052368,0.04115374805405736,0.0,0.0,0.0
noise20,tensor,0.3,0.2,101,3,2.2191846351623536,15.8,2.082712646484375,23.6,0.781448632478714,0.03589942725375295,0.0,0.0,1.8292682245373726
noise20,tensor,0.3,0.2,101,4,2.1607122535705567,18.8,2.01573876953125,26.2,0.8026165217161179,0.028110475279390812,0.0,0.0,0.0
noise20,tensor,0.3,0.2,101,5,2.126678455352783,21.6,1.99012451171875,30.7,0.8172384798526764,0.028511070180684328,0.0,0.0,0.0
noise20,tensor,0.3,0.2,101,6,2.105869827270508,24.8,1.9758324584960938,28.6,0.8062314242124557,0.03492265846580267,0.0,0.0,0.0
noise20,output,0.3,0.2,101,1,2.322872682571411,11.1,2.38952099609375,10.0,0.8141849935054779,0.06759659294039011,0.06328418664634228,0.0,14.690265618264675
noise20,output,0.3,0.2,101,2,2.326538040161133,10.95,2.2198575439453125,16.9,0.7445733696222305,0.07857222855091095,0.07576260343194008,0.575221236795187,1.2389380484819412
noise20,output,0.3,0.2,101,3,2.2238587265014647,16.55,2.0888365478515625,23.1,0.7748802751302719,0.06781898997724056,0.06279087625443935,0.13274336233735085,1.9911504350602627
noise20,output,0.3,0.2,101,4,2.168135042190552,19.05,2.026375,26.6,0.7832538038492203,0.06443758308887482,0.060523707419633865,0.0,1.150442473590374
noise20,output,0.3,0.2,101,5,2.1389311294555666,21.85,2.002861999511719,30.5,0.7960516065359116,0.06603115983307362,0.06362309120595455,0.0,2.743362821638584
noise20,output,0.3,0.2,101,6,2.1180568466186522,24.25,1.9889876098632813,29.0,0.7869616150856018,0.06987439095973969,0.06727978028357029,0.044247787445783615,4.557522293180227
noise20,output,1.0,0.2,101,1,2.3056303367614746,13.0,2.4228441162109373,11.0,0.7760127782821655,0.20243795961141586,0.1926005445420742,12.831858359277248,40.13274386525154
noise20,output,1.0,0.2,101,2,2.3296987915039065,11.65,2.2586849365234376,16.4,0.7055164575576782,0.2446686327457428,0.23223112523555756,22.610619850456715,30.97345158457756
noise20,output,1.0,0.2,101,3,2.248369041442871,16.05,2.1305111083984376,21.8,0.750777080655098,0.25375846773386,0.22916168719530106,18.008849769830704,43.53982284665108
noise20,output,1.0,0.2,101,4,2.170868633270264,19.15,2.0397284545898438,25.7,0.8203607946634293,0.1979406140744686,0.1829281821846962,9.336283151060343,52.522122859954834
noise20,output,1.0,0.2,101,5,2.128308187484741,24.15,1.9965228271484374,29.7,0.8265814185142517,0.18178604170680046,0.17042028531432152,8.539823163300753,52.87610664963722
noise20,output,1.0,0.2,101,6,2.111272222518921,23.25,1.9829663696289062,29.4,0.8221659511327744,0.20427252352237701,0.18197259306907654,10.309734474867582,53.67256626486778
