condition,scope,adaptation_rate,learning_rate,seed,initial_state_hash,epoch_order_hash,best_validation_accuracy,final_validation_accuracy,selected_test_accuracy,mean_validation_accuracy,final_validation_loss,mean_validation_loss,best_epoch,elapsed_seconds,steps,diverged,beta_mean,beta_std,mean_within_tensor_beta_std,pct_beta_below_0_5,pct_beta_above_0_9
noise20,tensor,0.3,0.2,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,30.7,28.6,26.9,23.05,1.9758324584960938,2.10606401570638,5,29.653350834007142,48,False,0.7967875798543295,0.033874912885949016,0.0,0.0,0.5081300623714924
noise20,output,0.3,0.2,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,30.5,29.0,28.45,22.683333333333334,1.9889876098632813,2.1194066162109375,5,29.38485670799855,48,False,0.7833176106214523,0.06905515755837162,0.06554404087364674,0.1253687310963869,4.395280281702678
noise20,output,1.0,0.2,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,29.7,29.4,26.9,22.333333333333332,1.9829663696289062,2.13854296875,5,29.510530458996072,48,False,0.7835690801342329,0.2141440398991108,0.1982190695901712,13.60619479479889,45.619469011823334
noise20,tensor,1.0,0.2,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,29.6,28.9,28.45,23.266666666666666,1.9784400024414062,2.10521147664388,5,29.422061666991794,48,False,0.7938929945230484,0.10636897711083293,0.0,6.402438972145319,27.947154237578314
noise20,tensor,0.3,0.2,202,45b40ae44c66d9daa5f6e90a7a0ba0c40d9188472f9c73865748b15732d91b0c,94af1c4d171cd377d4574ca78c7031cf2b9ff795d3150c836b872bcdb3917f39,25.4,25.2,24.4,21.016666666666666,2.0584827880859375,2.1532454935709633,4,29.633574665989727,48,False,0.7923480197787285,0.03788183117285371,0.0,0.0,4.573170747607946
noise20,output,0.3,0.2,202,45b40ae44c66d9daa5f6e90a7a0ba0c40d9188472f9c73865748b15732d91b0c,94af1c4d171cd377d4574ca78c7031cf2b9ff795d3150c836b872bcdb3917f39,28.9,28.8,30.1,24.28333333333333,1.9342919921875,2.0574447428385416,5,29.71736054198118,48,False,0.7905843655268351,0.06037005021547278,0.05723682620252172,0.022123893722891808,5.228613534321387
noise20,output,1.0,0.2,202,45b40ae44c66d9daa5f6e90a7a0ba0c40d9188472f9c73865748b15732d91b0c,94af1c4d171cd377d4574ca78c7031cf2b9ff795d3150c836b872bcdb3917f39,29.1,28.3,28.45,22.516666666666666,1.9435382690429688,2.0738675435384115,5,29.625601667008596,48,False,0.8025608758131663,0.19608585319171348,0.18539471365511417,11.069321601341167,48.429203405976295
noise20,tensor,1.0,0.2,202,45b40ae44c66d9daa5f6e90a7a0ba0c40d9188472f9c73865748b15732d91b0c,94af1c4d171cd377d4574ca78c7031cf2b9ff795d3150c836b872bcdb3917f39,28.2,27.5,26.55,22.766666666666666,1.9663128051757812,2.09117724609375,4,29.779755333001958,48,False,0.7946260074774424,0.09357832938743134,0.0,3.150406386703253,30.284552772839863
noise20,tensor,0.3,0.2,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,27.5,27.5,27.45,21.5,2.0036829223632813,2.103569305419922,6,29.672924582991982,48,False,0.7933709695935249,0.02939047458736847,0.0,0.0,2.540650498121977
noise20,output,0.3,0.2,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,29.7,29.7,29.2,22.21666666666667,1.97925537109375,2.1132540181477864,6,29.80355079198489,48,False,0.7867333392302195,0.06390012397120397,0.06117504741996527,0.05162241868674755,5.376106267794967
noise20,output,1.0,0.2,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,28.8,28.8,27.85,20.45,2.005760498046875,2.1851517130533855,6,29.79765529098222,48,False,0.7505481640497843,0.22750290234883627,0.20968722645193338,17.50000010554989,38.7905607620875
noise20,tensor,1.0,0.2,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,27.2,26.4,27.25,21.71666666666667,1.9642012329101564,2.0886315612792967,5,29.761161583010107,48,False,0.783564418554306,0.10206223651766777,0.0,3.455284455170234,24.186991589764755
