condition,scope,adaptation_rate,learning_rate,seed,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,beta_mean,beta_std,mean_within_tensor_beta_std,pct_beta_below_0_5,pct_beta_above_0_9
clean,tensor,1.0,0.05,101,1,2.3046175117492678,12.75,2.1814478759765623,19.1,0.8223428577184677,0.06687356764450669,0.0,2.4390242993831635,28.65853700786829
clean,tensor,1.0,0.05,101,2,2.165107593536377,19.15,2.0478327026367187,25.8,0.8366481214761734,0.11716881580650806,0.0,10.36585345864296,31.097561307251453
clean,tensor,1.0,0.05,101,3,2.0496024684906007,23.4,1.9464263916015625,29.4,0.7978704869747162,0.09138096496462822,0.0,0.6097560748457909,30.487804673612118
clean,tensor,1.0,0.05,101,4,1.9429365730285644,28.9,1.8703988037109376,34.6,0.8053472489118576,0.08772095292806625,0.0,0.6097560748457909,29.878048226237297
clean,tensor,1.0,0.05,101,5,1.8877345094680786,30.8,1.8437369995117188,33.4,0.8662688732147217,0.07470991648733616,0.0,0.0,51.21951252222061
clean,tensor,1.0,0.05,101,6,1.8569998874664306,32.85,1.8298839721679687,34.2,0.8533350378274918,0.08795114420354366,0.0,12.804877758026123,53.658536076545715
clean,output,1.0,0.05,101,1,2.2992111625671385,13.45,2.1668836669921876,20.7,0.8163116872310638,0.19666608795523643,0.1873279120773077,10.840707831084728,52.07964554429054
clean,output,1.0,0.05,101,2,2.158791540145874,19.7,2.0316824951171877,25.3,0.7947201728820801,0.20127484574913979,0.18886679783463478,13.938053045421839,45.66371738910675
clean,output,1.0,0.05,101,3,2.020824499130249,24.6,1.9441279907226563,30.0,0.8216798603534698,0.17572267726063728,0.15960405580699444,8.00884971395135,47.56637066602707
clean,output,1.0,0.05,101,4,1.9447551259994507,28.05,1.8625906372070313,32.4,0.7438681125640869,0.21158015355467796,0.19992028549313545,18.539823032915592,36.681415885686874
clean,output,1.0,0.05,101,5,1.879390459060669,30.1,1.8326504516601563,33.9,0.8812599033117294,0.1377672627568245,0.12793760746717453,4.6460178680717945,68.36283206939697
clean,output,1.0,0.05,101,6,1.8432309379577636,32.7,1.8178988037109376,34.7,0.8616382479667664,0.1578268427401781,0.14430416375398636,8.05309759452939,63.761062920093536
clean,output,1.0,0.2,101,1,2.3180368671417235,12.2,2.4152138671875,9.9,0.8176954537630081,0.18303602188825607,0.1706923171877861,8.805309887975454,51.769910752773285
clean,output,1.0,0.2,101,2,2.305909767150879,13.05,2.2467197265625,19.0,0.7386151999235153,0.20595882460474968,0.19607391953468323,15.619468968361616,29.8230092972517
clean,output,1.0,0.2,101,3,2.2061534633636475,17.85,2.0706753540039062,24.3,0.869848296046257,0.15747615694999695,0.1398835126310587,4.64601768180728,63.89380693435669
