condition,scope,adaptation_rate,learning_rate,seed,initial_state_hash,epoch_order_hash,best_validation_accuracy,final_validation_accuracy,selected_test_accuracy,mean_validation_accuracy,final_validation_loss,mean_validation_loss,best_epoch,elapsed_seconds,steps,diverged,beta_mean,beta_std,mean_within_tensor_beta_std,pct_beta_below_0_5,pct_beta_above_0_9
clean,tensor,1.0,0.05,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,34.6,34.2,30.6,29.416666666666668,1.8298839721679687,1.9532877909342448,4,27.944622292008717,48,False,0.8303021043539047,0.08763422700576484,0.0,4.471544610957305,37.49999996895591
clean,output,1.0,0.05,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,34.7,34.7,32.1,29.5,1.8178988037109376,1.9426390075683593,6,28.409990291984286,48,False,0.8199129973848661,0.18013964500278234,0.16799347040553889,10.671091514329115,52.352507412433624
clean,output,1.0,0.2,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,30.6,30.6,27.1,23.283333333333335,1.9193275146484374,2.091768798828125,6,28.13198658300098,48,False,0.8243695795536041,0.17864869441837072,0.16634715038041273,9.041297932465872,52.529498375952244
clean,tensor,1.0,0.2,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,29.1,27.8,26.7,21.383333333333336,2.0031509399414062,2.211659291585286,5,28.056270708009833,48,False,0.8052151203155518,0.11646096299712856,0.0,8.02845535799861,35.975609750797354
clean,tensor,1.0,0.6,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,26.7,26.7,26.0,21.083333333333332,1.9466743774414061,2.175266774495443,6,27.60701933398377,48,False,0.8164630358417829,0.0997424447753777,0.0,4.2682926170527935,43.394308940817915
clean,output,1.0,0.6,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,27.8,27.2,26.1,21.383333333333336,1.9568646850585938,2.115552276611328,5,27.06556691697915,48,False,0.7805987497170767,0.2179497287919124,0.20180993837614855,14.963126850003997,44.85250717649857
clean,output,1.0,0.05,202,45b40ae44c66d9daa5f6e90a7a0ba0c40d9188472f9c73865748b15732d91b0c,94af1c4d171cd377d4574ca78c7031cf2b9ff795d3150c836b872bcdb3917f39,30.3,29.9,30.85,26.083333333333332,1.8821385498046874,2.007958262125651,5,30.566696459020022,48,False,0.7944160948197047,0.19434493562827507,0.18184861882279316,11.607669635365406,45.58259571592013
clean,tensor,1.0,0.05,202,45b40ae44c66d9daa5f6e90a7a0ba0c40d9188472f9c73865748b15732d91b0c,94af1c4d171cd377d4574ca78c7031cf2b9ff795d3150c836b872bcdb3917f39,30.9,30.1,29.75,24.8,1.8616549072265625,1.997043914794922,5,29.802894416992785,48,False,0.7939482852816582,0.07769663236103952,0.0,8.333333147068819,36.68699230377873
clean,tensor,1.0,0.2,202,45b40ae44c66d9daa5f6e90a7a0ba0c40d9188472f9c73865748b15732d91b0c,94af1c4d171cd377d4574ca78c7031cf2b9ff795d3150c836b872bcdb3917f39,31.1,31.1,30.55,22.71666666666667,1.8808919067382812,2.060689585367838,6,31.883296249987325,48,False,0.8055693631370863,0.08444881703083713,0.0,1.8292682866255443,40.34552831823627
clean,output,1.0,0.2,202,45b40ae44c66d9daa5f6e90a7a0ba0c40d9188472f9c73865748b15732d91b0c,94af1c4d171cd377d4574ca78c7031cf2b9ff795d3150c836b872bcdb3917f39,27.9,27.8,29.3,21.099999999999998,1.9182443237304687,2.08829155476888,5,32.02518037499976,48,False,0.7650968556602796,0.20833320822566748,0.19852014755209288,15.479351114481688,42.8097345555822
clean,output,1.0,0.6,202,45b40ae44c66d9daa5f6e90a7a0ba0c40d9188472f9c73865748b15732d91b0c,94af1c4d171cd377d4574ca78c7031cf2b9ff795d3150c836b872bcdb3917f39,21.7,21.6,21.85,17.599999999999998,2.097989990234375,2.2761661783854166,5,31.394670040986966,48,False,0.7915095562736193,0.21245396820207438,0.18444339092820883,14.446902632092437,51.82890879611174
clean,tensor,1.0,0.6,202,45b40ae44c66d9daa5f6e90a7a0ba0c40d9188472f9c73865748b15732d91b0c,94af1c4d171cd377d4574ca78c7031cf2b9ff795d3150c836b872bcdb3917f39,23.4,23.0,23.9,19.866666666666667,2.0066875,2.11869574991862,4,33.224581542017404,48,False,0.7954501907030741,0.12030064236993591,0.0,7.621951121836901,35.26422738408049
clean,tensor,1.0,0.05,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,31.4,31.4,31.0,26.400000000000002,1.8658479614257812,2.011491394042969,6,32.34334395901533,48,False,0.7996637721856436,0.08973550835313897,0.0,5.284552834928036,29.979674735416967
clean,output,1.0,0.05,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,28.8,28.8,28.3,22.633333333333336,1.9366830444335938,2.062574401855469,6,31.777093416982098,48,False,0.7984618321061134,0.19124124137063822,0.17698791033277908,11.076696217060089,44.32153378923734
clean,output,1.0,0.2,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,31.5,31.5,30.75,24.78333333333333,1.884052978515625,2.068310729980469,6,31.390488666977035,48,False,0.7773061022162437,0.21319807755450407,0.19954179289440313,13.384955857569972,40.597345059116684
clean,tensor,1.0,0.2,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,24.3,24.3,23.35,17.766666666666666,2.0482797241210937,2.2410376586914063,6,31.165325459005544,48,False,0.7697015628218651,0.10786809725686908,0.0,6.300812928626935,28.25203249230981
clean,tensor,1.0,0.6,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,29.4,28.6,27.2,20.433333333333334,1.9667042846679688,2.1513614095052085,5,30.862633749988163,48,False,0.781432763983806,0.11573732985804479,0.0,8.739837476362785,33.943089159826435
clean,output,1.0,0.6,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,29.1,29.1,27.85,21.46666666666667,1.9502908935546874,2.139410939534505,6,29.92284145799931,48,False,0.7783447851737341,0.21278155284623304,0.19545671499023834,14.063421885172525,43.104719618956246
