condition,scope,adaptation_rate,learning_rate,seed,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,beta_mean,beta_std,mean_within_tensor_beta_std,pct_beta_below_0_5,pct_beta_above_0_9
clean,tensor,0.3,0.05,101,1,2.307263240814209,12.85,2.18196826171875,20.3,0.8432652503252029,0.02610327140428126,0.0,0.0,25.0
clean,tensor,0.3,0.05,101,2,2.157462928771973,19.1,2.0371900634765625,26.4,0.7956517189741135,0.038669195491820574,0.0,0.0,0.0
clean,tensor,0.3,0.05,101,3,2.0437933158874513,24.25,1.9485537109375,26.5,0.8152900636196136,0.0253296229057014,0.0,0.0,0.6097560748457909
clean,tensor,0.3,0.05,101,4,1.9377171297073363,27.8,1.8820184936523439,32.3,0.8089155107736588,0.027315978426486254,0.0,0.0,1.2195121496915817
clean,tensor,0.3,0.05,101,5,1.8963692932128906,29.5,1.8328051147460938,33.7,0.8234696388244629,0.025687798392027617,0.0,0.0,1.2195121496915817
clean,tensor,0.3,0.05,101,6,1.8522802143096924,33.0,1.8244907836914062,34.4,0.7955386340618134,0.03291282523423433,0.0,0.0,0.0
clean,output,0.3,0.05,101,1,2.305695104598999,13.25,2.1817335205078123,19.6,0.840764194726944,0.06753112562000751,0.06538385525345802,0.0,32.25663648918271
clean,output,0.3,0.05,101,2,2.1627910709381104,19.35,2.046743835449219,25.0,0.77994005382061,0.061150060035288334,0.0584657434374094,0.0,0.6637168116867542
clean,output,0.3,0.05,101,3,2.0459225597381594,23.75,1.9536878051757813,28.1,0.791088193655014,0.05497825890779495,0.05290719959884882,0.0,0.6637168116867542
clean,output,0.3,0.05,101,4,1.9440437507629396,28.3,1.8747293701171874,33.8,0.7922618538141251,0.05191187094897032,0.047497362829744816,0.0,0.6194690242409706
clean,output,0.3,0.05,101,5,1.894443426132202,30.0,1.8399241943359375,33.3,0.8120054751634598,0.04933487344533205,0.04702799487859011,0.0,1.8584070727229118
clean,output,0.3,0.05,101,6,1.858676745414734,32.05,1.8315625,33.9,0.7852349132299423,0.06151893641799688,0.058950645849108696,0.0,3.362831939011812
clean,output,0.3,0.2,101,1,2.2662167339324952,13.05,2.9495631103515625,10.0,0.8262498825788498,0.06275138910859823,0.05887706112116575,0.0,18.00884949043393
clean,output,0.3,0.2,101,2,2.4588485260009767,9.9,2.297473388671875,11.2,0.6965616196393967,0.1068322192877531,0.09632136672735214,5.221239011734724,2.300884947180748
clean,output,0.3,0.2,101,3,2.2841833419799804,13.95,2.2563875732421876,12.5,0.7715855985879898,0.08419631235301495,0.08126073516905308,1.371681410819292,5.97345158457756
clean,output,0.3,0.2,101,4,2.25032919883728,15.75,2.2053836669921876,19.6,0.8258272707462311,0.07728572934865952,0.06361619662493467,0.0,20.929203554987907
clean,output,0.3,0.2,101,5,2.2106926708221435,17.6,2.14358056640625,19.8,0.8121495544910431,0.07260481081902981,0.06618855986744165,0.044247787445783615,8.893805276602507
clean,output,0.3,0.2,101,6,2.165368148803711,18.8,2.1255394287109377,20.2,0.8075370639562607,0.07363020069897175,0.06474629882723093,0.08849557489156723,11.371681280434132
clean,tensor,0.3,0.2,101,1,2.28940442276001,12.55,2.330783203125,13.1,0.8289308398962021,0.027339136693626642,0.0,0.0,3.658536449074745
clean,tensor,0.3,0.2,101,2,2.204775463104248,16.65,2.1275728759765626,20.9,0.778349906206131,0.03762719500809908,0.0,0.0,0.0
clean,tensor,0.3,0.2,101,3,2.1189956283569336,22.3,2.0513057861328123,20.5,0.7962241023778915,0.04230337403714657,0.0,0.0,4.878048598766327
clean,tensor,0.3,0.2,101,4,2.015278200149536,23.85,1.928419677734375,28.3,0.7893510311841965,0.031272335909307,0.0,0.0,0.0
clean,tensor,0.3,0.2,101,5,1.954897958755493,27.15,1.9037310791015625,30.4,0.8255232125520706,0.03099994594231248,0.0,0.0,0.0
clean,tensor,0.3,0.2,101,6,1.9282948894500733,29.2,1.8887528076171876,32.2,0.8041250258684158,0.03456074418500066,0.0,0.0,0.0
clean,tensor,0.3,0.6,101,1,2.350256109237671,11.7,2.8187174072265626,10.0,0.7971666753292084,0.037703676614910364,0.0,0.0,6.707317382097244
clean,tensor,0.3,0.6,101,2,2.3928498344421385,12.85,2.1632598876953124,18.5,0.7664681077003479,0.04487471375614405,0.0,0.0,0.0
clean,tensor,0.3,0.6,101,3,2.1948287754058837,17.75,2.1408026123046877,18.9,0.7438743114471436,0.05391855165362358,0.0,0.0,0.0
clean,tensor,0.3,0.6,101,4,2.1216620292663575,18.9,2.125963623046875,18.3,0.7880039513111115,0.03649427555501461,0.0,0.0,0.6097560748457909
clean,tensor,0.3,0.6,101,5,2.0791832809448243,20.5,2.035499084472656,24.1,0.8072638958692551,0.027779754251241684,0.0,0.0,1.8292682245373726
clean,tensor,0.3,0.6,101,6,2.0433041172027586,24.4,2.0101474609375,25.6,0.7907211035490036,0.03878185013309121,0.0,0.0,0.0
clean,output,0.3,0.6,101,1,2.3472223930358886,11.9,2.924671630859375,10.1,0.7826127856969833,0.07598214037716389,0.07271295227110386,0.08849557489156723,17.256637662649155
clean,output,0.3,0.6,101,2,2.3991404304504393,14.7,2.53970751953125,10.2,0.749205157160759,0.07793523371219635,0.07154045812785625,0.2654867246747017,1.6814159229397774
clean,output,0.3,0.6,101,3,2.344504734039307,10.35,2.277446044921875,10.8,0.6783116161823273,0.09967909567058086,0.09323952533304691,4.690265562385321,1.2831858359277248
clean,output,0.3,0.6,101,4,2.265458515167236,15.1,2.2271988525390625,20.1,0.8148458003997803,0.07564896903932095,0.06362757738679647,0.044247787445783615,22.78761062771082
