condition,scope,adaptation_rate,learning_rate,seed,initial_state_hash,epoch_order_hash,best_validation_accuracy,final_validation_accuracy,selected_test_accuracy,mean_validation_accuracy,final_validation_loss,mean_validation_loss,best_epoch,elapsed_seconds,steps,diverged,beta_mean,beta_std,mean_within_tensor_beta_std,pct_beta_below_0_5,pct_beta_above_0_9
clean,tensor,0.3,0.05,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,34.4,34.4,32.3,28.933333333333334,1.8244907836914062,1.9511710713704427,6,30.799311000009766,48,False,0.8136884694298109,0.02933644864242524,0.0,0.0,4.674796729038159
clean,output,0.3,0.05,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,33.9,33.9,31.5,28.95,1.8315625,1.954730204264323,6,30.0813606249867,48,False,0.8002157807350159,0.05773752089589834,0.05503880030785998,0.0,6.570796358088653
clean,output,0.3,0.2,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,20.2,20.2,19.25,15.549999999999999,2.1255394287109377,2.3296546223958337,6,29.67362966600922,48,False,0.7899851649999619,0.07955011026933789,0.0718350363895297,1.1209439641485612,11.246312689036131
clean,tensor,0.3,0.2,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,32.2,32.2,29.3,24.233333333333334,1.8887528076171876,2.038427571614583,6,29.537601416988764,48,False,0.8037506863474846,0.034017121962582074,0.0,0.0,1.4227641746401787
clean,tensor,0.3,0.6,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,25.6,25.6,25.45,19.233333333333334,2.0101474609375,2.215731679280599,6,30.132390832994133,48,False,0.7822496742010117,0.039925470327337585,0.0,0.0,1.5243902802467346
clean,output,0.3,0.6,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,20.1,19.9,19.45,14.783333333333333,2.1211871337890624,2.373210225423177,4,30.086769957997603,48,False,0.7917193099856377,0.07981600084652503,0.0724182069922487,0.8480826082328955,21.025073699032266
clean,output,0.3,0.05,202,45b40ae44c66d9daa5f6e90a7a0ba0c40d9188472f9c73865748b15732d91b0c,94af1c4d171cd377d4574ca78c7031cf2b9ff795d3150c836b872bcdb3917f39,29.1,29.1,30.65,24.3,1.8840048217773437,2.009407246907552,6,30.161570291995304,48,False,0.7928559432427088,0.05921391770243645,0.05621634656563401,0.044247787445783615,5.6268436058113975
clean,tensor,0.3,0.05,202,45b40ae44c66d9daa5f6e90a7a0ba0c40d9188472f9c73865748b15732d91b0c,94af1c4d171cd377d4574ca78c7031cf2b9ff795d3150c836b872bcdb3917f39,28.4,28.4,29.55,22.900000000000002,1.9376170043945313,2.0576562601725263,6,29.18753129200195,48,False,0.8056459824244181,0.031141065953609843,0.0,0.0,4.47154479722182
clean,tensor,0.3,0.2,202,45b40ae44c66d9daa5f6e90a7a0ba0c40d9188472f9c73865748b15732d91b0c,94af1c4d171cd377d4574ca78c7031cf2b9ff795d3150c836b872bcdb3917f39,29.8,29.0,29.45,22.733333333333334,1.8814267578125,2.0405531921386717,5,28.16033499999321,48,False,0.8035782327254614,0.02858906107333799,0.0,0.0,4.6747966048618155
clean,output,0.3,0.2,202,45b40ae44c66d9daa5f6e90a7a0ba0c40d9188472f9c73865748b15732d91b0c,94af1c4d171cd377d4574ca78c7031cf2b9ff795d3150c836b872bcdb3917f39,29.9,29.9,30.15,22.583333333333332,1.8795726318359376,2.0377866821289063,6,27.01756624999689,48,False,0.7868280758460363,0.061774915705124535,0.05826478792975346,0.022123893722891808,5.383480728293459
clean,output,0.3,0.6,202,45b40ae44c66d9daa5f6e90a7a0ba0c40d9188472f9c73865748b15732d91b0c,94af1c4d171cd377d4574ca78c7031cf2b9ff795d3150c836b872bcdb3917f39,25.3,25.3,26.15,20.383333333333333,2.022201354980469,2.1274400533040363,6,27.37633695799741,48,False,0.7681889732678732,0.07585176794479291,0.07045098626986146,0.6710914429277182,5.685840779915452
clean,tensor,0.3,0.6,202,45b40ae44c66d9daa5f6e90a7a0ba0c40d9188472f9c73865748b15732d91b0c,94af1c4d171cd377d4574ca78c7031cf2b9ff795d3150c836b872bcdb3917f39,19.9,19.9,21.75,17.01666666666667,2.145146240234375,2.2426636149088544,6,27.000836999999592,48,False,0.8044123152891794,0.04939855673971275,0.0,0.20325202494859695,19.81707289814949
clean,tensor,0.3,0.05,303,fb9860a22b55f20884a38177450862ca4c287aaf47b68ed47ef8bf5f8c8e62a1,07fafc7c97fae9d48e7cd393b919ccb8525600a78c28b3dfa9db1772456052eb,32.3,32.3,31.8,26.116666666666664,1.84087841796875,2.0115030212402343,5,30.580221957992762,48,False,0.8053437819083532,0.028176229582944263,0.0,0.0,4.573170716563861
