condition,scope,adaptation_rate,learning_rate,seed,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,beta_mean,beta_std,mean_within_tensor_beta_std,pct_beta_below_0_5,pct_beta_above_0_9
clean,tensor,0.1,0.05,101,1,2.3085519008636473,12.85,2.1822264404296874,20.7,0.8725995421409607,0.012701894389465451,0.0,0.0,25.0
clean,tensor,0.1,0.05,101,2,2.1526814002990724,19.3,2.0281798095703123,26.6,0.8067445755004883,0.014242046745494008,0.0,0.0,0.0
clean,tensor,0.1,0.05,101,3,2.036514415740967,24.35,1.94414013671875,27.5,0.8068403154611588,0.014942112378776073,0.0,0.0,0.0
clean,tensor,0.1,0.05,101,4,1.9352509937286377,27.55,1.8843565063476562,31.6,0.8055892884731293,0.015098817646503448,0.0,0.0,0.0
clean,tensor,0.1,0.05,101,5,1.8969062366485596,29.6,1.8383917236328124,33.6,0.8065740764141083,0.012274583103135228,0.0,0.0,0.0
clean,tensor,0.1,0.05,101,6,1.8549607820510865,33.85,1.8265370483398438,35.2,0.7909669429063797,0.012739612953737378,0.0,0.0,0.0
clean,output,0.1,0.05,101,1,2.3080531311035157,13.0,2.18276904296875,20.3,0.8708953410387039,0.03082590945996344,0.029820129042491317,0.0,34.203539695590734
clean,output,0.1,0.05,101,2,2.153387306213379,19.15,2.0287477416992186,26.5,0.7984652668237686,0.03318920638412237,0.03220650600269437,0.0,0.3539822995662689
clean,output,0.1,0.05,101,3,2.039084579467773,24.35,1.945753662109375,27.4,0.7900450676679611,0.02777293138206005,0.025960390456020832,0.0,0.0
clean,output,0.1,0.05,101,4,1.940196491241455,27.4,1.886603271484375,32.3,0.7881700843572617,0.025763673707842827,0.0229446180164814,0.0,0.0
clean,output,0.1,0.05,101,5,1.9004241828918458,29.1,1.843055908203125,33.8,0.7924840599298477,0.025336069520562887,0.024166711140424013,0.0,0.0
clean,output,0.1,0.05,101,6,1.8617997646331788,33.25,1.8326791381835938,34.3,0.7796468585729599,0.028284708503633738,0.027111899573355913,0.0,0.0
clean,output,0.1,0.2,101,1,2.3023080139160155,12.1,2.2874453125,17.9,0.8588330000638962,0.031025694217532873,0.029303078074008226,0.0,18.805309012532234
clean,output,0.1,0.2,101,2,2.2767351303100587,15.85,2.1451727294921876,22.3,0.7785727083683014,0.04031716287136078,0.037592119071632624,0.0,0.08849557489156723
clean,output,0.1,0.2,101,3,2.1178115100860597,20.35,2.0578360595703127,20.8,0.7557526677846909,0.032711881678551435,0.0313798226416111,0.0,0.0
clean,output,0.1,0.2,101,4,2.0368746547698975,23.7,1.962039306640625,30.0,0.7725479900836945,0.028440851718187332,0.027298261877149343,0.0,0.0
clean,output,0.1,0.2,101,5,1.986784860610962,26.65,1.9327620849609375,27.7,0.7891196012496948,0.02614436950534582,0.024659537710249424,0.0,0.0
clean,output,0.1,0.2,101,6,1.9571931200027466,27.9,1.925483154296875,28.3,0.7832622826099396,0.030255296267569065,0.028969114646315575,0.0,0.0
clean,tensor,0.1,0.2,101,1,2.308217601776123,12.15,2.31247509765625,19.1,0.8607762157917023,0.013593937503173947,0.0,0.0,4.268292710185051
clean,tensor,0.1,0.2,101,2,2.2430775642395018,16.45,2.1175228271484374,23.4,0.7871786653995514,0.018439336214214563,0.0,0.0,0.0
clean,tensor,0.1,0.2,101,3,2.1041164321899415,20.15,2.01391748046875,24.9,0.7806774377822876,0.019793436396867037,0.0,0.0,0.0
clean,tensor,0.1,0.2,101,4,2.0211143703460692,23.95,1.9686573486328125,26.3,0.8024605512619019,0.020266301929950714,0.0,0.0,0.0
clean,tensor,0.1,0.2,101,5,1.9799704418182373,26.8,1.9268865356445313,28.3,0.7966134399175644,0.017115996684879065,0.0,0.0,0.0
clean,tensor,0.1,0.2,101,6,1.9479238777160643,28.45,1.9207621459960937,26.4,0.7848806381225586,0.020160178653895855,0.0,0.0,0.0
clean,tensor,0.1,0.6,101,1,2.347779514312744,12.15,2.598651123046875,12.0,0.8454424738883972,0.018706409260630608,0.0,0.0,10.975609719753265
clean,tensor,0.1,0.6,101,2,2.3850387477874757,12.8,2.19492236328125,19.5,0.7683769315481186,0.027442128863185644,0.0,0.0,0.0
clean,tensor,0.1,0.6,101,3,2.170097064971924,17.6,2.0866263427734375,21.9,0.7466334700584412,0.027769113425165415,0.0,0.0,0.0
clean,tensor,0.1,0.6,101,4,2.074876485824585,21.85,2.0193062133789064,27.1,0.7758981436491013,0.01840519020333886,0.0,0.0,0.0
clean,tensor,0.1,0.6,101,5,2.0386900329589843,24.85,1.9911403198242188,25.3,0.8073398917913437,0.013559369836002588,0.0,0.0,0.0
clean,tensor,0.1,0.6,101,6,2.0135577697753906,24.8,1.9814877319335937,26.1,0.8063837885856628,0.014322507428005338,0.0,0.0,0.0
