condition,scope,adaptation_rate,learning_rate,seed,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,beta_mean,beta_std,mean_within_tensor_beta_std,pct_beta_below_0_5,pct_beta_above_0_9
clean,tensor,0.3,0.05,101,1,2.3072631855010988,12.85,2.181968017578125,20.3,0.8432651460170746,0.02610329515300691,0.0,0.0,25.0
clean,tensor,0.3,0.05,101,2,2.1574631061553955,19.1,2.037190246582031,26.4,0.7956515848636627,0.03866927698254585,0.0,0.0,0.0
clean,tensor,0.3,0.05,101,3,2.043793462753296,24.25,1.9485538330078125,26.5,0.8152895122766495,0.025329641066491604,0.0,0.0,0.6097560748457909
clean,tensor,0.3,0.05,101,4,1.9377174186706543,27.8,1.8820181884765625,32.3,0.8089149296283722,0.027315928600728512,0.0,0.0,1.2195121496915817
clean,tensor,0.3,0.05,101,5,1.8963693389892577,29.5,1.8328052978515625,33.7,0.8234695196151733,0.025687809102237225,0.0,0.0,1.2195121496915817
clean,tensor,0.3,0.05,101,6,1.852280333518982,33.0,1.8244909057617187,34.4,0.7955382168292999,0.032913241535425186,0.0,0.0,0.0
clean,output,0.3,0.05,101,1,2.305695043563843,13.25,2.1817335205078123,19.6,0.840764194726944,0.06753113679587841,0.06538387574255466,0.0,32.25663648918271
clean,output,0.3,0.05,101,2,2.1627911376953124,19.35,2.0467440185546875,25.0,0.7799400091171265,0.06115005258470774,0.05846570897847414,0.0,0.6637168116867542
clean,output,0.3,0.05,101,3,2.0459223918914793,23.75,1.9536878662109376,28.1,0.7910879403352737,0.054978289641439915,0.0529072443023324,0.0,0.6637168116867542
clean,output,0.3,0.05,101,4,1.9440437355041504,28.3,1.8747293701171874,33.8,0.7922618240118027,0.051911854185163975,0.047497340478003025,0.0,0.6194690242409706
clean,output,0.3,0.05,101,5,1.894443389892578,30.0,1.839924072265625,33.3,0.8120055794715881,0.0493348715826869,0.04702796973288059,0.0,1.8584070727229118
clean,output,0.3,0.05,101,6,1.8586768064498902,32.05,1.8315625,33.9,0.7852348685264587,0.06151896063238382,0.05895065329968929,0.0,3.362831939011812
clean,output,0.3,0.2,101,1,2.266217559814453,13.05,2.9495640869140627,10.0,0.8262500911951065,0.06275130715221167,0.05887696240097284,0.0,18.00884949043393
clean,output,0.3,0.2,101,2,2.4588488273620603,9.9,2.297474853515625,11.2,0.6965602934360504,0.10683366470038891,0.09632248058915138,5.221239011734724,2.300884947180748
clean,output,0.3,0.2,101,3,2.2841854820251464,13.95,2.25639111328125,12.5,0.7715845853090286,0.08419705554842949,0.08126074820756912,1.371681410819292,5.97345158457756
clean,output,0.3,0.2,101,4,2.250334934234619,15.75,2.2053905029296876,19.6,0.8258261978626251,0.07728625275194645,0.06361841131001711,0.0,20.929203554987907
clean,output,0.3,0.2,101,5,2.2107024517059326,17.6,2.143593505859375,19.8,0.8121614009141922,0.07258793525397778,0.06616579554975033,0.044247787445783615,8.89380518347025
clean,output,0.3,0.2,101,6,2.1653750362396242,18.8,2.125555419921875,20.2,0.8075430542230606,0.07363416161388159,0.06474573165178299,0.08849557489156723,11.283185798674822
clean,tensor,0.3,0.2,101,1,2.2894043254852297,12.55,2.33078271484375,13.1,0.8289306908845901,0.027339142747223377,0.0,0.0,3.658536449074745
clean,tensor,0.3,0.2,101,2,2.2047752265930174,16.65,2.127572509765625,20.9,0.7783498615026474,0.03762727044522762,0.0,0.0,0.0
clean,tensor,0.3,0.2,101,3,2.1189954204559327,22.3,2.0513067626953125,20.5,0.7962247431278229,0.04230347089469433,0.0,0.0,4.878048598766327
clean,tensor,0.3,0.2,101,4,2.015278383255005,23.85,1.928419921875,28.3,0.7893515229225159,0.031272109132260084,0.0,0.0,0.0
clean,tensor,0.3,0.2,101,5,1.954897967338562,27.15,1.9037313842773438,30.4,0.8255230039358139,0.030999737791717052,0.0,0.0,0.0
clean,tensor,0.3,0.2,101,6,1.9282947645187378,29.2,1.888752685546875,32.2,0.8041248917579651,0.0345606473274529,0.0,0.0,0.0
clean,tensor,0.3,0.6,101,1,2.350256103515625,11.7,2.818716796875,10.0,0.7971665859222412,0.037703676614910364,0.0,0.0,6.707317382097244
clean,tensor,0.3,0.6,101,2,2.392843116760254,12.85,2.1635386962890624,18.4,0.7664824426174164,0.04486826993525028,0.0,0.0,0.0
clean,tensor,0.3,0.6,101,3,2.1768416118621827,18.7,2.101220458984375,22.2,0.7535472065210342,0.04678103141486645,0.0,0.0,0.0
clean,tensor,0.3,0.6,101,4,2.088697536468506,21.35,2.049578674316406,22.1,0.7862811237573624,0.035002633929252625,0.0,0.0,0.0
clean,tensor,0.3,0.6,101,5,2.048096778869629,21.8,2.0100288696289064,24.5,0.8177187740802765,0.025824647396802902,0.0,0.0,0.0
clean,tensor,0.3,0.6,101,6,2.0270024881362914,25.05,2.002345764160156,23.4,0.7786404639482498,0.04745017783716321,0.0,0.0,0.0
clean,output,0.3,0.6,101,1,2.3472225971221925,11.9,2.924673095703125,10.1,0.7826128900051117,0.07598212920129299,0.07271295972168446,0.08849557489156723,17.256637662649155
clean,output,0.3,0.6,101,2,2.399357837677002,14.7,2.539529541015625,10.2,0.7492249459028244,0.07793218269944191,0.07153128460049629,0.2654867246747017,1.6814159229397774
clean,output,0.3,0.6,101,3,2.3444970932006837,10.35,2.2774661865234376,10.9,0.6782405823469162,0.09963377378880978,0.09324243478477001,4.734513442963362,1.2389380484819412
clean,output,0.3,0.6,101,4,2.2654497814178467,15.2,2.2270543212890623,19.9,0.8147967755794525,0.07560570724308491,0.06353980302810669,0.044247787445783615,22.566371597349644
clean,output,0.3,0.6,101,5,2.20230751991272,19.15,2.148666015625,17.7,0.8690692633390427,0.07517906464636326,0.06497076526284218,0.0,49.07079637050629
clean,output,0.3,0.6,101,6,2.1360864791870116,20.55,2.1209390869140625,19.8,0.8553773164749146,0.07462069764733315,0.06855904124677181,0.0,33.45132693648338
clean,output,1.0,0.05,101,1,2.299211040496826,13.45,2.1668834228515625,20.7,0.8163116574287415,0.1966661475598812,0.18732797168195248,10.840707831084728,52.07964554429054
clean,output,1.0,0.05,101,2,2.15879154586792,19.7,2.031682373046875,25.3,0.7947202622890472,0.2012748308479786,0.1888667605817318,13.938053045421839,45.66371738910675
clean,output,1.0,0.05,101,3,2.0208244438171388,24.6,1.9441279296875,30.0,0.8216796219348907,0.17572283372282982,0.15960415080189705,8.00884971395135,47.56637066602707
clean,output,1.0,0.05,101,4,1.9447550344467164,28.05,1.862590576171875,32.4,0.7438682615756989,0.21158015355467796,0.19992024824023247,18.539823032915592,36.681415885686874
clean,output,1.0,0.05,101,5,1.879390471458435,30.1,1.832650634765625,33.9,0.8812600821256638,0.13776702247560024,0.12793736159801483,4.6460178680717945,68.36283206939697
clean,output,1.0,0.05,101,6,1.8432309226989747,32.7,1.8178988037109376,34.7,0.8616383522748947,0.15782669372856617,0.14430387318134308,8.05309759452939,63.761062920093536
clean,tensor,1.0,0.05,101,1,2.304617395401001,12.75,2.1814478759765623,19.1,0.8223426640033722,0.06687356857582927,0.0,2.4390242993831635,28.65853700786829
clean,tensor,1.0,0.05,101,2,2.165107690811157,19.15,2.047832824707031,25.8,0.8366477787494659,0.11716901324689388,0.0,10.36585345864296,31.097561307251453
clean,tensor,1.0,0.05,101,3,2.04960231590271,23.4,1.94642626953125,29.4,0.7978696525096893,0.09138133097440004,0.0,0.6097560748457909,30.487804673612118
clean,tensor,1.0,0.05,101,4,1.9429364595413208,28.9,1.87039892578125,34.6,0.8053468614816666,0.08772085048258305,0.0,0.6097560748457909,29.878048226237297
clean,tensor,1.0,0.05,101,5,1.8877344760894776,30.8,1.8437368774414062,33.4,0.8662685006856918,0.07470985967665911,0.0,0.0,51.21951252222061
clean,tensor,1.0,0.05,101,6,1.856999752998352,32.85,1.8298838500976562,34.2,0.8533348590135574,0.08795112185180187,0.0,12.804877758026123,53.658536076545715
clean,tensor,1.0,0.2,101,1,2.2554356880187987,13.55,2.827344482421875,10.3,0.806869700551033,0.06317368801683187,0.0,0.6097560748457909,30.487804859876633
clean,tensor,1.0,0.2,101,2,2.4089491424560547,13.2,2.27805517578125,13.8,0.7642887234687805,0.11923553422093391,0.0,4.268292523920536,20.73170728981495
clean,tensor,1.0,0.2,101,3,2.1952933902740477,18.75,2.1153514404296874,21.2,0.8437737673521042,0.1322323540225625,0.0,5.487804673612118,50.609755516052246
clean,tensor,1.0,0.2,101,4,2.1024342613220215,21.95,2.0373507080078124,26.1,0.8001639246940613,0.11530281975865364,0.0,9.146341681480408,26.21951252222061
clean,tensor,1.0,0.2,101,5,2.0393329086303713,24.7,2.0086828002929686,29.1,0.8611549288034439,0.12365749478340149,0.0,3.0487803742289543,45.12195140123367
clean,tensor,1.0,0.2,101,6,2.0207233114242555,26.05,2.003148254394531,27.8,0.755014106631279,0.1452008532360196,0.0,25.60975681990385,42.682926915585995
clean,output,1.0,0.2,101,1,2.3180366458892823,12.2,2.41521337890625,9.9,0.8176954537630081,0.18303605541586876,0.1706923432648182,8.805309887975454,51.769910752773285
clean,output,1.0,0.2,101,2,2.3059094734191894,13.05,2.246719482421875,19.0,0.7386151701211929,0.20595890283584595,0.1960739679634571,15.619468968361616,29.8230092972517
clean,output,1.0,0.2,101,3,2.2061529426574706,17.85,2.070671875,24.3,0.8698482662439346,0.1574756372720003,0.13988305628299713,4.64601768180728,63.89380693435669
clean,output,1.0,0.2,101,4,2.0783448314666746,23.05,1.9626400146484375,27.3,0.7900320291519165,0.19251003861427307,0.18422619625926018,11.902654729783535,45.17699107527733
clean,output,1.0,0.2,101,5,1.9966958522796632,26.2,1.9360406494140625,28.6,0.8519879132509232,0.17719761282205582,0.1632051207125187,6.946902722120285,55.44247701764107
clean,output,1.0,0.2,101,6,1.968404312133789,28.35,1.9193286743164062,30.6,0.8780567497014999,0.15570834837853909,0.14399703033268452,6.283185724169016,69.07079517841339
clean,output,1.0,0.6,101,1,2.385310718536377,10.65,2.50644384765625,10.0,0.7489591091871262,0.22464915737509727,0.21466140821576118,16.991150379180908,35.04424728453159
clean,output,1.0,0.6,101,2,2.310541524887085,13.75,2.1561878662109377,17.1,0.7469344884157181,0.21569844335317612,0.19549312442541122,16.725663654506207,40.48672541975975
clean,output,1.0,0.6,101,3,2.22241646194458,17.0,2.0883521728515624,19.5,0.7550489157438278,0.25473620742559433,0.23280119895935059,19.734513014554977,42.47787669301033
clean,output,1.0,0.6,101,4,2.099460973739624,20.3,2.0149512939453125,26.7,0.727742925286293,0.25103700160980225,0.23228849470615387,22.300884872674942,33.62831920385361
clean,output,1.0,0.6,101,5,2.0416920547485353,22.75,1.9703722534179688,27.7,0.8540608733892441,0.17396266013383865,0.15873195976018906,6.15044254809618,60.486726462841034
clean,output,1.0,0.6,101,6,2.0006443328857424,26.55,1.9567476806640625,27.1,0.8507991582155228,0.18803390860557556,0.17695298790931702,7.964601833373308,56.72566369175911
clean,tensor,1.0,0.6,101,1,2.3687648277282713,11.0,2.8271011962890626,10.0,0.7625420093536377,0.08276268607005477,0.0,3.658536449074745,26.219512708485126
clean,tensor,1.0,0.6,101,2,2.4036889152526855,10.95,2.236657958984375,17.1,0.7148848325014114,0.11645000986754894,0.0,4.878048785030842,15.853658318519592
clean,tensor,1.0,0.6,101,3,2.1956578178405763,18.05,2.07794677734375,20.9,0.8639763295650482,0.11145203746855259,0.0,1.8292682245373726,43.292682617902756
clean,tensor,1.0,0.6,101,4,2.0805556087493895,21.6,2.003463562011719,25.6,0.7727491706609726,0.16245498694479465,0.0,14.63414616882801,17.68292635679245
clean,tensor,1.0,0.6,101,5,2.014886196136475,24.7,1.9610794067382813,26.5,0.8838829547166824,0.061021470464766026,0.0,0.0,78.04878056049347
clean,tensor,1.0,0.6,101,6,1.978510298728943,27.9,1.9471005249023436,26.7,0.8989269882440567,0.06784066976979375,0.0,0.6097560748457909,76.82926803827286
noise20,tensor,0.3,0.05,101,1,2.312379596710205,12.35,2.213001708984375,19.8,0.8350927084684372,0.030893467948772013,0.0,0.0,25.0
noise20,tensor,0.3,0.05,101,2,2.2155816898345946,18.25,2.094303955078125,21.6,0.7926657348871231,0.023916528560221195,0.0,0.0,0.0
noise20,tensor,0.3,0.05,101,3,2.1523985710144045,19.8,2.0256533203125,26.3,0.8085101097822189,0.02798528573475778,0.0,0.0,0.0
noise20,tensor,0.3,0.05,101,4,2.100288173675537,23.25,1.9428468627929687,31.2,0.805778831243515,0.02550732810050249,0.0,0.0,0.0
noise20,tensor,0.3,0.05,101,5,2.067569978713989,25.7,1.9217281494140626,32.5,0.8059535920619965,0.024926847079768777,0.0,0.0,0.6097560748457909
noise20,tensor,0.3,0.05,101,6,2.0439711112976076,27.25,1.9010770874023437,33.7,0.7995811998844147,0.024744894821196795,0.0,0.0,0.0
noise20,output,0.3,0.05,101,1,2.3113338832855224,11.95,2.216295654296875,20.1,0.8329218626022339,0.06207621144130826,0.06018291972577572,0.0,29.73451353609562
noise20,output,0.3,0.05,101,2,2.2165585823059084,18.05,2.08356689453125,22.3,0.7815076261758804,0.05282288510352373,0.05195596627891064,0.0,0.2654867246747017
noise20,output,0.3,0.05,101,3,2.148155666351318,20.05,2.0271824340820315,24.8,0.7915968596935272,0.05567723512649536,0.05188819020986557,0.0,0.8849557489156723
