condition,scope,adaptation_rate,learning_rate,seed,initial_state_hash,epoch_order_hash,best_validation_accuracy,final_validation_accuracy,selected_test_accuracy,mean_validation_accuracy,final_validation_loss,mean_validation_loss,best_epoch,elapsed_seconds,steps,diverged,beta_mean,beta_std,mean_within_tensor_beta_std,pct_beta_below_0_5,pct_beta_above_0_9
clean,tensor,0.3,0.05,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,34.4,34.4,32.3,28.933333333333334,1.8244909057617187,1.9511710815429686,6,2.5030282919760793,48,False,0.813688151538372,0.02933653207340588,0.0,0.0,4.674796729038159
clean,output,0.3,0.05,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,33.9,33.9,31.5,28.95,1.8315625,1.954730224609375,6,2.0536127499944996,48,False,0.8002157360315323,0.05773752757037679,0.055038798755655684,0.0,6.570796358088653
clean,output,0.3,0.2,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,20.2,20.2,19.25,15.549999999999999,2.125555419921875,2.329661580403646,6,1.5856319169979542,48,False,0.7899876038233439,0.07954839617013931,0.07183168828487396,1.1209439641485612,11.231563426554203
clean,tensor,0.3,0.2,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,32.2,32.2,29.3,24.233333333333334,1.888752685546875,2.0384276631673175,6,1.6678827499854378,48,False,0.8037507856885592,0.03401706305642923,0.0,0.0,1.4227641746401787
clean,tensor,0.3,0.6,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,24.5,23.4,24.75,20.099999999999998,2.002345764160156,2.1909048767089843,5,1.5837259580148384,48,False,0.7833060994744301,0.039605072854707636,0.0,0.0,1.1178862303495407
clean,output,0.3,0.6,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,19.9,19.8,19.5,14.766666666666666,2.1209390869140625,2.373054707845052,4,1.5368067910021637,48,False,0.791553628941377,0.079825592537721,0.07242604810744524,0.8554572549959024,20.87758108973503
clean,output,1.0,0.05,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,34.7,34.7,32.1,29.5,1.8178988037109376,1.9426389567057292,6,1.5482824589998927,48,False,0.8199130396048228,0.18013961364825568,0.1679933943475286,10.671091514329115,52.352507412433624
clean,tensor,1.0,0.05,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,34.6,34.2,30.6,29.416666666666668,1.8298838500976562,1.9532877705891927,4,1.5604732089850586,48,False,0.8303017194072405,0.0876342908013612,0.0,4.471544610957305,37.49999996895591
clean,tensor,1.0,0.2,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,29.1,27.8,26.7,21.383333333333336,2.003148254394531,2.2116554768880206,5,1.5526667500089388,48,False,0.8052108585834503,0.11646712400640051,0.0,8.02845535799861,35.975609750797354
clean,output,1.0,0.2,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,30.6,30.6,27.1,23.283333333333335,1.9193286743164062,2.091769012451172,6,1.5602084169804584,48,False,0.8243725970387459,0.17864776588976383,0.16634628580262265,9.033923285702864,52.529498375952244
clean,output,1.0,0.6,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,27.7,27.1,26.15,21.349999999999998,1.9567476806640625,2.1155091857910158,5,1.5263429160113446,48,False,0.7805909117062887,0.21801956308384737,0.20182152899603048,14.977876050397754,44.808259792625904
clean,tensor,1.0,0.6,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,26.7,26.7,25.75,21.133333333333333,1.9471005249023436,2.1755582377115887,6,1.550343500013696,48,False,0.8161603808403015,0.10033031009758513,0.0,4.2682926170527935,42.987804766744375
noise20,tensor,0.3,0.05,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,33.7,33.7,31.3,27.516666666666666,1.9010770874023437,2.0164351806640624,6,1.5565456670010462,48,False,0.8079303627212843,0.026329058707536507,0.0,0.0,4.268292679140965
noise20,output,0.3,0.05,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,33.2,33.2,31.3,27.166666666666668,1.9017620849609376,2.0153648885091147,6,1.5726347500167321,48,False,0.7956523671746254,0.05619909932526449,0.05415594360480706,0.007374631240963936,5.52359886157016
noise20,output,0.3,0.2,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,30.5,29.0,28.45,22.683333333333334,1.988988525390625,2.119407206217448,5,1.563662334025139,48,False,0.7833175634344419,0.06905536710595091,0.06554457979897658,0.1253687310963869,4.395280281702678
noise20,tensor,0.3,0.2,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,30.7,28.6,26.9,23.05,1.9758322143554687,2.106063680013021,5,1.557256458007032,48,False,0.7967876518766085,0.03387491086808344,0.0,0.0,0.5081300623714924
noise20,tensor,0.3,0.6,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,28.0,26.9,26.75,20.0,2.00800341796875,2.1594246927897136,5,1.5398703329847194,48,False,0.7897883579134941,0.042305842973291874,0.0,0.10162601247429848,1.6260162306328614
noise20,output,0.3,0.6,101,7d6b4ad63f8e7f8378a5da61b7acb2bfe582732cff69e0439e37cb6f35f90cb5,ebff81acfa9876d3a7c050cc9de69e1025bb4e96d027e579b5f6a22251325ff8,30.5,29.4,26.55,21.150000000000002,1.9870719604492189,2.1383471374511718,5,1.5196687919960823,48,False,0.7733923022945722,0.07421703652168314,0.07068983030815919,0.6637168272087971,4.705014731734991
