condition,scope,adaptation_rate,learning_rate,seed,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,beta_mean,beta_std,mean_within_tensor_beta_std,pct_beta_below_0_5,pct_beta_above_0_9
clean,tensor,0.1,0.2,611,1,2.203561613082886,16.24,2.4659140625,15.8,0.8084634989500046,0.0134204369969666,0.0,0.0,0.0
clean,tensor,0.1,0.2,611,2,2.1380671745300295,19.94,2.1945065307617186,14.1,0.7905259877443314,0.021661688573658466,0.0,0.0,0.0
clean,tensor,0.1,0.2,611,3,1.9529765529632568,27.24,2.048387451171875,23.8,0.8180235624313354,0.01776532642543316,0.0,0.0,0.0
clean,tensor,0.1,0.2,611,4,1.8649868017196656,30.55,2.065980010986328,25.5,0.7975970059633255,0.014808690408244729,0.0,0.0,0.0
clean,tensor,0.1,0.2,611,5,1.8530600555419923,31.12,1.75510498046875,36.55,0.7957674860954285,0.013954712194390595,0.0,0.0,0.0
clean,tensor,0.1,0.2,611,6,1.6918048093795777,37.8,1.6811495361328126,38.65,0.8057942390441895,0.012870013248175383,0.0,0.0,0.0
clean,tensor,0.1,0.2,611,7,1.61466372756958,40.33,1.820360321044922,31.2,0.8158925622701645,0.012609514873474836,0.0,0.0,0.0
clean,tensor,0.1,0.2,611,8,1.5604337009429932,42.56,1.8000027160644532,34.9,0.8132808655500412,0.012535518035292625,0.0,0.0,0.0
clean,tensor,0.1,0.2,611,9,1.5130599838256835,45.24,1.5153713989257813,43.0,0.8096273094415665,0.011658769100904465,0.0,0.0,0.0
clean,tensor,0.1,0.2,611,10,1.4622590255737304,47.07,1.4238254089355469,48.9,0.8133886158466339,0.01013865100685507,0.0,0.0,0.0
clean,tensor,0.1,0.2,611,11,1.3904098427772522,49.49,1.422810577392578,47.05,0.8083642870187759,0.012601145077496767,0.0,0.0,0.0
clean,tensor,0.1,0.2,611,12,1.3550465370178222,50.43,1.41206396484375,48.9,0.805038794875145,0.009649748797528446,0.0,0.0,0.0
clean,tensor,0.1,0.2,611,13,1.3259926511764526,51.83,1.307481201171875,52.25,0.7858754843473434,0.01114688697271049,0.0,0.0,0.0
clean,tensor,0.1,0.2,611,14,1.2786751792907716,53.68,1.2886546936035157,52.5,0.8005049973726273,0.010858212015591562,0.0,0.0,0.0
clean,tensor,0.1,0.2,611,15,1.2557865234375,54.77,1.2814927062988282,53.4,0.7931414097547531,0.008758072857744992,0.0,0.0,0.0
clean,output,0.1,0.2,611,1,2.264027116775513,14.26,2.1582501220703123,18.1,0.7796223163604736,0.038535287603735924,0.037177049089223146,0.0,0.3539822995662689
clean,output,0.1,0.2,611,2,2.025420576477051,23.38,2.3349864501953124,13.5,0.7820781618356705,0.03111296519637108,0.0291571500711143,0.0,0.044247787445783615
