condition,scope,adaptation_rate,learning_rate,seed,initial_state_hash,epoch_order_hash,best_validation_accuracy,final_validation_accuracy,selected_test_accuracy,mean_validation_accuracy,final_validation_loss,mean_validation_loss,best_epoch,elapsed_seconds,steps,diverged,beta_mean,beta_std,mean_within_tensor_beta_std,pct_beta_below_0_5,pct_beta_above_0_9
clean,tensor,0.1,0.2,611,f2f410a2761dff3531ab12802d73cfbffaa022b41e2ab2262070da0afff30a9c,142a0c32a12c04964a1de013375a6e052970fc4ad16ae17d9e5ea5377e3674f9,53.4,53.4,53.82,37.766666666666666,1.2814927062988282,1.6988737040201825,15,17.026529208000284,600,False,0.8040857404470444,0.012962492438964546,0.0,0.0,0.0
clean,output,0.1,0.2,611,f2f410a2761dff3531ab12802d73cfbffaa022b41e2ab2262070da0afff30a9c,142a0c32a12c04964a1de013375a6e052970fc4ad16ae17d9e5ea5377e3674f9,51.3,51.3,52.28,36.36333333333334,1.3219170532226563,1.7444161865234376,15,16.522551375004696,600,False,0.7900248835484187,0.025380938096592823,0.02388857739667098,0.0,0.03244837746024132
noise20,output,0.1,0.2,611,f2f410a2761dff3531ab12802d73cfbffaa022b41e2ab2262070da0afff30a9c,142a0c32a12c04964a1de013375a6e052970fc4ad16ae17d9e5ea5377e3674f9,50.8,50.8,51.51,36.49,1.4350115356445312,1.7585590576171874,15,16.506325416994514,600,False,0.7897436608870824,0.02257935479283333,0.02137462467265626,0.0,0.011799409985542297
noise20,tensor,0.1,0.2,611,f2f410a2761dff3531ab12802d73cfbffaa022b41e2ab2262070da0afff30a9c,142a0c32a12c04964a1de013375a6e052970fc4ad16ae17d9e5ea5377e3674f9,50.9,50.35,50.78,37.53666666666666,1.4311487426757812,1.7473638224283854,14,16.931476208992535,600,False,0.8010739217201869,0.012203841532270113,0.0,0.0,0.0
clean,tensor,0.1,0.2,722,8fc5f76deed6c52bbca7adca2bbbd18ea3d85dcb9d2e6f2ed86cf146b73f33a7,947ca81f673cbbdb0ac556ff66f47554345328f1ff664866d841ba6c92b07751,54.75,54.05,54.99,37.96333333333334,1.2380418701171876,1.716535968017578,13,16.9802890830033,600,False,0.8072478393713634,0.014697142698181172,0.0,0.0,0.16260161995887756
clean,output,0.1,0.2,722,8fc5f76deed6c52bbca7adca2bbbd18ea3d85dcb9d2e6f2ed86cf146b73f33a7,947ca81f673cbbdb0ac556ff66f47554345328f1ff664866d841ba6c92b07751,54.75,54.75,55.91,39.28333333333333,1.232077880859375,1.6717755839029949,15,16.49923583297641,600,False,0.7908501754204432,0.024059244509165485,0.02251197607256472,0.0,0.008849557489156723
noise20,output,0.1,0.2,722,8fc5f76deed6c52bbca7adca2bbbd18ea3d85dcb9d2e6f2ed86cf146b73f33a7,947ca81f673cbbdb0ac556ff66f47554345328f1ff664866d841ba6c92b07751,49.4,49.4,49.58,35.980000000000004,1.4691411437988282,1.7877124694824218,15,16.706347041996196,600,False,0.7875402669111887,0.024474038369953634,0.023272008293618758,0.0,0.0
noise20,tensor,0.1,0.2,722,8fc5f76deed6c52bbca7adca2bbbd18ea3d85dcb9d2e6f2ed86cf146b73f33a7,947ca81f673cbbdb0ac556ff66f47554345328f1ff664866d841ba6c92b07751,53.95,53.95,52.6,38.68333333333333,1.3688942260742187,1.7014012471516928,15,16.99827720801113,600,False,0.802754686276118,0.011581290505516033,0.0,0.0,0.0
clean,tensor,0.1,0.2,833,2bf45dea3cbeed99063f53b646cd4ebfb1dd920e6faa57ebba6e2de5ce2ed69e,8b359790dd3601649bfe9f0f34471ce920b2a2e59b7ec58817aba9196c6c0608,54.65,54.1,51.92,37.51,1.2458492736816407,1.7517013081868489,13,16.979182332986966,600,False,0.8058368255694707,0.013410289050079882,0.0,0.0,0.0
clean,output,0.1,0.2,833,2bf45dea3cbeed99063f53b646cd4ebfb1dd920e6faa57ebba6e2de5ce2ed69e,8b359790dd3601649bfe9f0f34471ce920b2a2e59b7ec58817aba9196c6c0608,54.9,54.9,53.5,39.53666666666666,1.2340530090332031,1.6879978881835938,15,16.52896579200751,600,False,0.793649023771286,0.024653768570472797,0.022840612567961216,0.0,0.014749262481927872
noise20,output,0.1,0.2,833,2bf45dea3cbeed99063f53b646cd4ebfb1dd920e6faa57ebba6e2de5ce2ed69e,8b359790dd3601649bfe9f0f34471ce920b2a2e59b7ec58817aba9196c6c0608,52.8,52.8,51.22,36.9,1.3929509887695313,1.7536384134928384,15,16.57505516600213,600,False,0.7883142948150634,0.0235720284593602,0.022230397164821624,0.0,0.005899704992771149
noise20,tensor,0.1,0.2,833,2bf45dea3cbeed99063f53b646cd4ebfb1dd920e6faa57ebba6e2de5ce2ed69e,8b359790dd3601649bfe9f0f34471ce920b2a2e59b7ec58817aba9196c6c0608,51.15,50.45,49.66,36.8,1.4217503051757812,1.744254042561849,14,16.968698875018163,600,False,0.8020752360423405,0.012780722595440846,0.0,0.0,0.0
