condition,scope,adaptation_rate,learning_rate,seed,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,beta_mean,beta_std,mean_within_tensor_beta_std,pct_beta_below_0_5,pct_beta_above_0_9
clean,tensor,1.0,0.2,611,1,2.1981173698425294,16.0,2.166154052734375,21.05,0.88553786277771,0.04470525402575731,0.0,0.0,56.097561866045
clean,tensor,1.0,0.2,611,2,1.9307631992340089,28.36,2.6107181396484376,19.5,0.8811996728181839,0.0585098541341722,0.0,3.658536449074745,66.46341439336538
clean,tensor,1.0,0.2,611,3,1.950169345855713,26.81,1.9590623168945311,27.5,0.8989631533622742,0.06364800361916423,0.0,0.6097560748457909,57.31707289814949
clean,tensor,1.0,0.2,611,4,1.8211649242401122,32.42,2.1171012268066405,24.1,0.8930030018091202,0.04995569586753845,0.0,0.0,68.90243962407112
clean,tensor,1.0,0.2,611,5,1.7305136394500733,36.21,2.1420508728027343,30.0,0.903082475066185,0.04751563991885632,0.0,0.0,68.29268261790276
clean,tensor,1.0,0.2,611,6,1.6527612258911133,39.58,1.643901611328125,38.3,0.7771239578723907,0.13789125718176365,0.0,14.63414616882801,12.804877758026123
clean,tensor,1.0,0.2,611,7,1.5545665906906128,42.86,1.6553869018554688,40.1,0.8556568175554276,0.07287910394370556,0.0,0.0,43.29268392175436
clean,tensor,1.0,0.2,611,8,1.4843459533691405,45.79,2.172446441650391,24.3,0.8537174761295319,0.07788361422717571,0.0,2.4390242993831635,40.85365850478411
clean,tensor,1.0,0.2,611,9,1.4635925451278686,46.76,1.4604967041015624,45.4,0.8736921399831772,0.07813684921711683,0.0,1.2195121496915817,41.46341439336538
clean,tensor,1.0,0.2,611,10,1.3928809455871582,49.83,1.379401153564453,50.25,0.817993625998497,0.11716823047026992,0.0,5.487804673612118,31.70731719583273
clean,tensor,1.0,0.2,611,11,1.3223663549423217,51.69,1.3880054321289061,49.3,0.8255893439054489,0.08384155854582787,0.0,6.707317382097244,42.682926543056965
clean,tensor,1.0,0.2,611,12,1.284733243560791,53.52,1.4375504455566406,47.6,0.8822867274284363,0.06441391259431839,0.0,0.6097560748457909,42.07317028194666
clean,tensor,1.0,0.2,611,13,1.2478318748474122,54.32,1.2775067443847656,53.25,0.8769571185112,0.06554053956642747,0.0,0.0,40.243902429938316
clean,tensor,1.0,0.2,611,14,1.2026880058288574,56.54,1.2459796142578126,55.25,0.870383232831955,0.053249327931553125,0.0,0.0,34.75609738379717
clean,tensor,1.0,0.2,611,15,1.1884436128616334,57.24,1.2289992980957032,55.4,0.8162406980991364,0.0792118136305362,0.0,9.146341681480408,27.439024299383163
clean,output,1.0,0.2,611,1,2.238721940994263,15.81,2.349874694824219,10.0,0.8161919116973877,0.19192755222320557,0.18827138096094131,9.646017663180828,46.32743373513222
clean,output,1.0,0.2,611,2,2.104340287399292,21.61,2.4724390869140627,17.35,0.845544844865799,0.17401663772761822,0.1546243168413639,8.584070671349764,60.75221225619316
clean,output,1.0,0.2,611,3,1.9180782741546631,28.71,2.0267979125976563,28.45,0.771091565489769,0.20690708048641682,0.19745908677577972,16.283185500651598,41.32743403315544
clean,output,1.0,0.2,611,4,1.7952170951843263,33.99,2.119080810546875,23.3,0.8715975284576416,0.1298460392281413,0.12844772823154926,3.9380530826747417,60.04424691200256
clean,output,1.0,0.2,611,5,1.691750853729248,38.81,2.588059814453125,19.05,0.8210515379905701,0.1731166522949934,0.1626470210030675,11.415929533541203,52.52212435007095
clean,output,1.0,0.2,611,6,1.6641587600708008,40.36,1.5905552368164062,41.15,0.810238853096962,0.1821078546345234,0.17195938900113106,10.132743697613478,43.53982284665108
clean,output,1.0,0.2,611,7,1.5400418350219727,43.97,2.0119808349609376,29.6,0.797283947467804,0.16992934606969357,0.1588170025497675,9.557522181421518,41.15044288337231
clean,output,1.0,0.2,611,8,1.496348596382141,45.79,1.55066845703125,42.5,0.8638593107461929,0.1296446635387838,0.12560032401233912,4.95575238019228,58.27433615922928
clean,output,1.0,0.2,611,9,1.4278620113372802,48.49,1.4471128234863282,45.6,0.8223106861114502,0.15755701810121536,0.1470701126381755,7.389380782842636,46.72566428780556
clean,output,1.0,0.2,611,10,1.3789449850082398,49.96,1.3735240478515625,49.85,0.8278904259204865,0.16307846643030643,0.159049978479743,8.849557675421238,52.212388813495636
clean,output,1.0,0.2,611,11,1.3123680742263795,52.58,1.3505297546386719,51.1,0.857438862323761,0.1392051987349987,0.1391198467463255,5.663716793060303,54.73451316356659
clean,output,1.0,0.2,611,12,1.2848132141113282,54.04,1.6183832397460938,43.75,0.8210850358009338,0.16257063951343298,0.15571862738579512,10.575221385806799,50.08849538862705
clean,output,1.0,0.2,611,13,1.2579930847167968,54.63,1.235824951171875,54.5,0.880737692117691,0.13466479070484638,0.13573666848242283,4.026548657566309,62.079646438360214
clean,output,1.0,0.2,611,14,1.207517636489868,56.95,1.2291891174316407,55.2,0.832425132393837,0.15788259729743004,0.15461676381528378,8.584070950746536,49.15929138660431
clean,output,1.0,0.2,611,15,1.1922669784545898,57.51,1.219646026611328,56.0,0.8247903883457184,0.1470823809504509,0.1464026141911745,6.6371682099998,46.637167409062386
noise20,output,1.0,0.2,611,1,2.237322134399414,15.2,2.2731305541992186,16.1,0.8380084186792374,0.18092332035303116,0.16855618357658386,9.159292001277208,53.805309534072876
noise20,output,1.0,0.2,611,2,2.139271459197998,21.2,2.3654400634765627,17.15,0.8849699944257736,0.11958021530881524,0.1067621810361743,3.6725664511322975,67.6548682153225
noise20,output,1.0,0.2,611,3,2.0602340034484863,25.29,1.9462588500976563,28.25,0.8979584723711014,0.12132496386766434,0.11108928546309471,2.2123893722891808,68.14159229397774
noise20,output,1.0,0.2,611,4,1.989823246574402,29.85,1.8956555786132812,26.85,0.8046470135450363,0.17036469094455242,0.16156204510480165,12.345132511109114,46.592920646071434
noise20,output,1.0,0.2,611,5,1.9534350465774537,31.66,1.779526824951172,32.45,0.8377833664417267,0.15018773917108774,0.13678219076246023,8.008849527686834,58.584071695804596
noise20,output,1.0,0.2,611,6,1.9189823608398437,33.28,1.8871514282226562,29.35,0.806533470749855,0.18607071973383427,0.18037456646561623,11.814159154891968,47.389379888772964
noise20,output,1.0,0.2,611,7,1.873971936225891,35.53,2.2757919311523436,23.4,0.799428716301918,0.1678327713161707,0.15360401663929224,10.442478023469448,45.5309733748436
