condition,scope,adaptation_rate,learning_rate,seed,initial_state_hash,epoch_order_hash,best_validation_accuracy,final_validation_accuracy,selected_test_accuracy,mean_validation_accuracy,final_validation_loss,mean_validation_loss,best_epoch,elapsed_seconds,steps,diverged,beta_mean,beta_std,mean_within_tensor_beta_std,pct_beta_below_0_5,pct_beta_above_0_9
clean,tensor,1.0,0.2,611,f2f410a2761dff3531ab12802d73cfbffaa022b41e2ab2262070da0afff30a9c,142a0c32a12c04964a1de013375a6e052970fc4ad16ae17d9e5ea5377e3674f9,55.4,55.4,55.91,38.75333333333333,1.2289992980957032,1.7256507303873696,15,17.523378625017358,600,False,0.8607618202765782,0.07297004365827889,0.0,2.96747966359059,44.95934960742792
clean,output,1.0,0.2,611,f2f410a2761dff3531ab12802d73cfbffaa022b41e2ab2262070da0afff30a9c,142a0c32a12c04964a1de013375a6e052970fc4ad16ae17d9e5ea5377e3674f9,56.0,56.0,56.06,37.82666666666667,1.219646026611328,1.7455777872721354,15,16.450322749995394,600,False,0.8309025148550669,0.16130246119573713,0.1550360574076573,8.415929277737936,51.038348004221916
noise20,output,1.0,0.2,611,f2f410a2761dff3531ab12802d73cfbffaa022b41e2ab2262070da0afff30a9c,142a0c32a12c04964a1de013375a6e052970fc4ad16ae17d9e5ea5377e3674f9,53.55,53.1,54.35,36.39333333333333,1.3588016357421875,1.7583473693847655,14,16.43326316701132,600,False,0.8362124522527059,0.15337581457570196,0.14477629065513611,7.8171091464658575,52.53097337981065
noise20,tensor,1.0,0.2,611,f2f410a2761dff3531ab12802d73cfbffaa022b41e2ab2262070da0afff30a9c,142a0c32a12c04964a1de013375a6e052970fc4ad16ae17d9e5ea5377e3674f9,53.9,53.9,54.85,39.46666666666667,1.35068798828125,1.6977498474121093,15,16.8957174999814,600,False,0.843802297115326,0.07557314005680382,0.0,4.308943077921867,43.61788632969061
clean,tensor,1.0,0.2,722,8fc5f76deed6c52bbca7adca2bbbd18ea3d85dcb9d2e6f2ed86cf146b73f33a7,947ca81f673cbbdb0ac556ff66f47554345328f1ff664866d841ba6c92b07751,57.55,57.55,57.95,39.516666666666666,1.1558239440917968,1.648596065266927,15,16.99970124999527,600,False,0.8468187828858693,0.07971307379969707,0.0,3.9837397759159408,43.170731626451015
clean,output,1.0,0.2,722,8fc5f76deed6c52bbca7adca2bbbd18ea3d85dcb9d2e6f2ed86cf146b73f33a7,947ca81f673cbbdb0ac556ff66f47554345328f1ff664866d841ba6c92b07751,57.8,57.8,57.12,38.65,1.1673779907226562,1.7120382893880206,15,16.701457333983853,600,False,0.8239405781030655,0.16151176157097022,0.15352241142342488,9.59292035549879,50.84070807943741
noise20,output,1.0,0.2,722,8fc5f76deed6c52bbca7adca2bbbd18ea3d85dcb9d2e6f2ed86cf146b73f33a7,947ca81f673cbbdb0ac556ff66f47554345328f1ff664866d841ba6c92b07751,50.9,50.9,51.35,34.519999999999996,1.4181722717285157,1.8836472859700522,14,16.60018687500269,600,False,0.8258491779367129,0.16633949236323436,0.15492301788181068,9.752212508271137,52.05604723344246
noise20,tensor,1.0,0.2,722,8fc5f76deed6c52bbca7adca2bbbd18ea3d85dcb9d2e6f2ed86cf146b73f33a7,947ca81f673cbbdb0ac556ff66f47554345328f1ff664866d841ba6c92b07751,53.05,53.05,51.71,36.04666666666667,1.409049560546875,1.8117959533691408,15,16.99236141698202,600,False,0.84135024001201,0.07586825952166691,0.0,4.471544610957305,48.49593482911587
clean,tensor,1.0,0.2,833,2bf45dea3cbeed99063f53b646cd4ebfb1dd920e6faa57ebba6e2de5ce2ed69e,8b359790dd3601649bfe9f0f34471ce920b2a2e59b7ec58817aba9196c6c0608,55.75,55.4,54.3,38.36333333333334,1.2163743896484376,1.710530039469401,14,16.990556665987242,600,False,0.8396610856056214,0.0827778023822854,0.0,3.2520324115951857,46.504065146048866
clean,output,1.0,0.2,833,2bf45dea3cbeed99063f53b646cd4ebfb1dd920e6faa57ebba6e2de5ce2ed69e,8b359790dd3601649bfe9f0f34471ce920b2a2e59b7ec58817aba9196c6c0608,59.75,59.75,57.81,39.84,1.1258415069580079,1.767900267537435,15,16.59383387499838,600,False,0.837510288755099,0.15646722031136354,0.1450088099266092,7.6784661163886385,54.38938049599528
noise20,output,1.0,0.2,833,2bf45dea3cbeed99063f53b646cd4ebfb1dd920e6faa57ebba6e2de5ce2ed69e,8b359790dd3601649bfe9f0f34471ce920b2a2e59b7ec58817aba9196c6c0608,52.9,52.9,51.21,35.63,1.3787296447753907,1.8547496805826822,15,16.64236399999936,600,False,0.8308583597342173,0.1614890578513344,0.15004839583610494,8.955752290785313,53.10619475940863
noise20,tensor,1.0,0.2,833,2bf45dea3cbeed99063f53b646cd4ebfb1dd920e6faa57ebba6e2de5ce2ed69e,8b359790dd3601649bfe9f0f34471ce920b2a2e59b7ec58817aba9196c6c0608,55.25,55.25,53.2,37.14666666666667,1.3174375915527343,1.7326813273111978,15,16.999948666983983,600,False,0.8502107501029968,0.06913648745200286,0.0,3.0487804238994918,43.94308968136708
