condition,scope,adaptation_rate,learning_rate,seed,initial_state_hash,epoch_order_hash,best_validation_accuracy,final_validation_accuracy,selected_test_accuracy,mean_validation_accuracy,final_validation_loss,mean_validation_loss,best_epoch,elapsed_seconds,steps,diverged,beta_mean,beta_std,mean_within_tensor_beta_std,pct_beta_below_0_5,pct_beta_above_0_9
noise20,tensor,0.1,0.05,404,5f895d233cf45c0ffeab958c4ff4695b93251ac12d00aba41c8390061a52efb7,debb2e4ab369336ffc6563ccbe5ec6d63002fe76b93d15d2af646a62e8cb065a,30.0,30.0,28.65,22.666666666666668,1.9893017578125,2.101454315185547,6,1.616232874977868,48,False,0.8081786086161932,0.011871917318785563,0.0,0.0,4.166666666666667
noise20,output,0.1,0.05,404,5f895d233cf45c0ffeab958c4ff4695b93251ac12d00aba41c8390061a52efb7,debb2e4ab369336ffc6563ccbe5ec6d63002fe76b93d15d2af646a62e8cb065a,28.9,28.9,28.1,22.516666666666666,1.9931345825195312,2.1025960896809894,6,1.5699371669907123,48,False,0.7959805677334467,0.028835817899865408,0.027064584001588326,0.0,4.97050144088765
noise20,output,0.1,0.2,404,5f895d233cf45c0ffeab958c4ff4695b93251ac12d00aba41c8390061a52efb7,debb2e4ab369336ffc6563ccbe5ec6d63002fe76b93d15d2af646a62e8cb065a,26.3,25.1,25.3,20.05,2.0548759765625,2.1474131164550783,5,1.5325385420001112,48,False,0.7852363213896751,0.03045374822492401,0.02846965069572131,0.0,4.174041406561931
noise20,tensor,0.1,0.2,404,5f895d233cf45c0ffeab958c4ff4695b93251ac12d00aba41c8390061a52efb7,debb2e4ab369336ffc6563ccbe5ec6d63002fe76b93d15d2af646a62e8cb065a,26.5,26.1,26.3,20.116666666666667,2.0601826171875,2.1523558553059896,5,1.7300481670245063,48,False,0.797461062669754,0.01374246880489712,0.0,0.0,3.9634146727621555
noise20,tensor,0.1,0.6,404,5f895d233cf45c0ffeab958c4ff4695b93251ac12d00aba41c8390061a52efb7,debb2e4ab369336ffc6563ccbe5ec6d63002fe76b93d15d2af646a62e8cb065a,24.6,24.6,24.7,18.5,2.066660888671875,2.1742540283203122,6,1.571976083010668,48,False,0.7908661042650541,0.01795067028918614,0.0,0.0,1.7276422120630741
noise20,output,0.1,0.6,404,5f895d233cf45c0ffeab958c4ff4695b93251ac12d00aba41c8390061a52efb7,debb2e4ab369336ffc6563ccbe5ec6d63002fe76b93d15d2af646a62e8cb065a,25.9,25.9,24.2,18.2,2.066813171386719,2.1741810607910157,6,1.5554492910159752,48,False,0.7763881757855415,0.03710701735690236,0.03412296405682961,0.0,2.7876105469961963
noise20,output,0.3,0.05,404,5f895d233cf45c0ffeab958c4ff4695b93251ac12d00aba41c8390061a52efb7,debb2e4ab369336ffc6563ccbe5ec6d63002fe76b93d15d2af646a62e8cb065a,29.5,29.5,28.75,22.766666666666666,1.9903426513671876,2.1005721435546874,6,1.5276536250021309,48,False,0.7891849428415298,0.06098402990028262,0.057829259506737195,0.007374631240963936,5.530973353112738
noise20,tensor,0.3,0.05,404,5f895d233cf45c0ffeab958c4ff4695b93251ac12d00aba41c8390061a52efb7,debb2e4ab369336ffc6563ccbe5ec6d63002fe76b93d15d2af646a62e8cb065a,30.0,30.0,28.6,22.733333333333334,1.9865744018554687,2.100432647705078,6,1.5549890410038643,48,False,0.8032050008575121,0.026006998242034268,0.0,0.0,4.268292679140965
noise20,tensor,0.3,0.2,404,5f895d233cf45c0ffeab958c4ff4695b93251ac12d00aba41c8390061a52efb7,debb2e4ab369336ffc6563ccbe5ec6d63002fe76b93d15d2af646a62e8cb065a,28.3,27.1,28.85,20.233333333333334,2.0097131958007814,2.1242532958984377,5,1.5623449999839067,48,False,0.7919278219342232,0.029358298672984045,0.0,0.0,3.760162585725387
noise20,output,0.3,0.2,404,5f895d233cf45c0ffeab958c4ff4695b93251ac12d00aba41c8390061a52efb7,debb2e4ab369336ffc6563ccbe5ec6d63002fe76b93d15d2af646a62e8cb065a,29.2,29.2,30.2,21.25,1.9852080688476563,2.1038928527832033,6,1.5411354170064442,48,False,0.7829290976126989,0.06066037636871139,0.05754600604996085,0.007374631240963936,4.601769894361496
noise20,output,0.3,0.6,404,5f895d233cf45c0ffeab958c4ff4695b93251ac12d00aba41c8390061a52efb7,debb2e4ab369336ffc6563ccbe5ec6d63002fe76b93d15d2af646a62e8cb065a,26.7,26.1,27.0,19.0,2.0383463745117187,2.1663066406250002,5,1.5463169160066172,48,False,0.7730019489924113,0.07026694544280569,0.06604227392623822,0.1622418873012066,4.063421813771129
noise20,tensor,0.3,0.6,404,5f895d233cf45c0ffeab958c4ff4695b93251ac12d00aba41c8390061a52efb7,debb2e4ab369336ffc6563ccbe5ec6d63002fe76b93d15d2af646a62e8cb065a,23.5,23.5,23.05,17.2,2.17509912109375,2.2467828369140626,6,1.561374708020594,48,False,0.7907708883285522,0.04847513798934718,0.0,0.4065040498971939,13.21138193209966
noise20,tensor,1.0,0.05,404,5f895d233cf45c0ffeab958c4ff4695b93251ac12d00aba41c8390061a52efb7,debb2e4ab369336ffc6563ccbe5ec6d63002fe76b93d15d2af646a62e8cb065a,31.3,31.3,28.75,23.75,1.9726329345703124,2.0867235107421873,6,1.6053092500078492,48,False,0.7960952669382095,0.0897666458816578,0.0,7.926829221347968,25.406503956764936
noise20,output,1.0,0.05,404,5f895d233cf45c0ffeab958c4ff4695b93251ac12d00aba41c8390061a52efb7,debb2e4ab369336ffc6563ccbe5ec6d63002fe76b93d15d2af646a62e8cb065a,31.3,31.0,29.5,24.266666666666666,1.9619310913085937,2.0664537251790365,5,1.5814844999986235,48,False,0.7978899230559667,0.19146195830156407,0.18075283399472633,11.33480827944974,43.72418945034345
noise20,output,1.0,0.2,404,5f895d233cf45c0ffeab958c4ff4695b93251ac12d00aba41c8390061a52efb7,debb2e4ab369336ffc6563ccbe5ec6d63002fe76b93d15d2af646a62e8cb065a,31.4,31.4,31.7,21.916666666666668,1.9484223022460938,2.113776082356771,6,1.5609998749860097,48,False,0.7888210465510687,0.19628492215027413,0.18473827124883732,11.976401306067904,41.32743403315544
